,datetime,nh3,pm10,pm2_5,so2,o3,no2,co,aqi
0,2024-01-20 20:00:00,4.31,267.79,249.84,7.03,60.8,16.11,1214.98,5
1,2024-01-20 21:00:00,4.31,264.07,247.57,6.91,55.79,15.42,1201.63,5
2,2024-01-20 22:00:00,4.31,261.3,245.67,6.56,50.78,14.91,1201.63,5
3,2024-01-20 23:00:00,4.31,260.32,245.33,6.2,44.35,15.08,1214.98,5
4,2024-01-21 00:00:00,4.43,260.79,247.17,6.14,37.91,15.59,1228.33,5
5,2024-01-21 01:00:00,4.88,264.01,249.82,7.15,32.54,17.31,1281.74,5
6,2024-01-21 02:00:00,5.7,269.15,251.65,9.18,26.82,20.91,1348.5,5
7,2024-01-21 03:00:00,6.21,267.63,248.21,11.32,28.25,21.42,1375.2,5
8,2024-01-21 04:00:00,5.89,251.35,233.23,13.83,39.34,19.36,1268.39,5
9,2024-01-21 05:00:00,6.14,240.95,224.14,15.26,54.36,16.96,1188.28,5
10,2024-01-21 06:00:00,6.52,238.48,222.45,16.45,75.82,15.25,1134.87,5
11,2024-01-21 07:00:00,1.68,214.06,201.74,13.71,118.73,8.48,881.2,5
12,2024-01-21 08:00:00,0.41,197.1,186.03,14.42,135.9,5.91,754.36,5
13,2024-01-21 09:00:00,0.42,192.21,181.13,16.21,138.76,5.74,720.98,5
14,2024-01-21 10:00:00,1.76,206.12,193.36,16.45,123.02,9.68,781.06,5
15,2024-01-21 11:00:00,5.83,224.72,208.24,15.26,92.98,18.68,934.6,5
16,2024-01-21 12:00:00,7.92,236.79,216.78,14.31,67.23,28.45,1081.47,5
17,2024-01-21 13:00:00,9.25,254.6,230.08,14.42,49.35,37.01,1255.04,5
18,2024-01-21 14:00:00,10.77,277.15,246.48,14.54,35.05,41.47,1428.6,5
19,2024-01-21 15:00:00,11.4,294.87,259.16,13.83,25.39,42.5,1562.12,5
20,2024-01-21 16:00:00,11.4,305.55,267.57,12.64,19.85,41.47,1628.88,5
21,2024-01-21 17:00:00,10.51,310.41,271.51,11.32,16.45,39.76,1668.93,5
22,2024-01-21 18:00:00,8.61,302.62,266.49,8.94,16.09,36.33,1588.82,5
23,2024-01-21 19:00:00,6.97,287.33,256.48,6.68,19.31,30.16,1428.6,5
24,2024-04-17 20:00:00,20.01,47.26,34.95,16.69,98.71,14.74,607.49,3
25,2024-04-17 21:00:00,20.52,47.26,35.74,17.17,94.41,14.05,607.49,3
26,2024-04-17 22:00:00,20.77,48.08,37.04,17.4,92.98,13.54,614.17,3
27,2024-04-17 23:00:00,21.03,49.41,38.62,18.12,94.41,13.02,607.49,3
28,2024-04-18 00:00:00,21.53,51.86,41.22,19.07,98.71,12.85,614.17,3
29,2024-04-18 01:00:00,22.04,56.48,44.64,21.46,100.14,14.39,647.54,3
30,2024-04-18 02:00:00,23.31,64.85,50.06,24.8,107.29,16.79,727.65,4
31,2024-04-18 03:00:00,22.55,70.81,54.64,27.18,137.33,16.45,747.68,4
32,2024-04-18 04:00:00,19.51,71.72,57.39,27.66,185.97,11.48,674.25,5
33,2024-04-18 05:00:00,17.73,77.19,63.43,26.94,226.02,8.23,640.87,5
34,2024-04-18 06:00:00,15.33,75.86,63.66,23.6,246.05,6.34,587.46,5
35,2024-04-18 07:00:00,10.26,55.52,47.24,14.54,226.02,3.9,467.3,5
36,2024-04-18 08:00:00,7.47,43.17,36.54,10.37,208.85,3.34,403.88,5
37,2024-04-18 09:00:00,6.9,40.41,33.9,9.54,200.27,3.51,390.53,5
38,2024-04-18 10:00:00,7.16,40.39,33.06,10.25,194.55,4.76,400.54,5
39,2024-04-18 11:00:00,7.98,42.47,33.89,10.97,185.97,6.68,427.25,5
40,2024-04-18 12:00:00,8.99,43.78,33.98,10.97,175.95,9.0,460.62,4
41,2024-04-18 13:00:00,11.02,47.67,35.77,11.92,164.51,12.17,540.73,4
42,2024-04-18 14:00:00,14.57,56.52,40.89,14.54,153.06,15.77,674.25,4
43,2024-04-18 15:00:00,19.0,69.54,48.96,17.88,138.76,19.36,841.14,3
44,2024-04-18 16:00:00,25.84,100.48,69.05,25.27,107.29,28.45,1174.93,4
45,2024-04-18 17:00:00,32.42,144.09,98.47,33.38,70.1,40.44,1602.17,5
46,2024-04-18 18:00:00,37.49,180.09,124.54,36.72,45.06,49.35,1895.9,5
47,2024-04-18 19:00:00,43.57,198.17,139.94,38.15,31.83,52.09,2029.42,5
48,2024-06-24 20:00:00,10.77,37.0,27.92,17.4,37.19,18.34,640.87,3
49,2024-06-24 21:00:00,9.88,38.72,29.98,17.17,34.33,18.85,634.19,3
50,2024-06-24 22:00:00,8.49,43.18,35.26,17.64,28.61,20.91,654.22,3
51,2024-06-24 23:00:00,7.03,47.65,40.68,17.64,22.89,22.96,680.92,3
52,2024-06-25 00:00:00,5.95,49.73,43.79,16.45,18.24,23.65,720.98,3
53,2024-06-25 01:00:00,5.51,51.47,45.99,15.74,13.41,24.33,787.73,3
54,2024-06-25 02:00:00,5.83,55.61,49.52,16.93,9.66,26.39,854.49,3
55,2024-06-25 03:00:00,6.14,57.08,50.55,18.6,9.83,27.76,867.84,4
56,2024-06-25 04:00:00,5.38,51.83,46.14,18.6,15.91,25.02,807.76,3
57,2024-06-25 05:00:00,4.94,47.3,42.21,17.64,23.25,22.28,774.38,3
58,2024-06-25 06:00:00,4.69,43.82,39.14,16.93,29.33,20.39,747.68,3
59,2024-06-25 07:00:00,4.81,41.76,37.06,16.21,47.92,16.96,720.98,3
60,2024-06-25 08:00:00,4.94,39.65,34.87,15.26,56.51,15.77,687.6,3
61,2024-06-25 09:00:00,5.19,37.46,32.63,14.78,60.08,14.91,667.57,3
62,2024-06-25 10:00:00,5.83,36.91,31.96,14.9,63.66,15.08,667.57,3
63,2024-06-25 11:00:00,7.03,37.49,32.08,15.26,59.37,17.31,700.95,3
64,2024-06-25 12:00:00,8.11,37.47,31.53,15.02,55.07,18.51,727.65,3
65,2024-06-25 13:00:00,9.25,39.36,32.04,14.66,59.37,17.14,747.68,3
66,2024-06-25 14:00:00,10.77,46.27,37.02,16.21,67.23,16.11,767.71,3
67,2024-06-25 15:00:00,11.53,53.49,43.17,17.17,70.1,15.59,774.38,3
68,2024-06-25 16:00:00,11.27,55.44,45.02,17.17,62.23,15.94,774.38,3
69,2024-06-25 17:00:00,10.89,55.62,44.86,17.64,47.21,17.99,787.73,3
70,2024-06-25 18:00:00,10.26,55.69,44.92,18.6,35.41,20.22,787.73,3
71,2024-06-25 19:00:00,7.98,52.39,44.12,19.31,27.18,22.62,767.71,3
72,2024-07-07 20:00:00,4.81,52.14,43.69,11.92,24.32,19.02,741.0,3
73,2024-07-07 21:00:00,4.69,49.25,41.13,11.09,21.28,18.68,714.3,3
74,2024-07-07 22:00:00,4.56,47.01,39.34,10.61,17.88,19.02,694.27,3
75,2024-07-07 23:00:00,4.31,45.54,38.43,10.73,14.13,20.05,680.92,3
76,2024-07-08 00:00:00,4.12,45.37,38.61,11.44,10.64,21.25,667.57,3
77,2024-07-08 01:00:00,3.93,46.81,40.43,13.35,8.49,22.28,674.25,3
78,2024-07-08 02:00:00,4.56,51.9,44.78,14.9,11.62,20.56,714.3,3
79,2024-07-08 03:00:00,4.69,56.86,49.42,15.97,19.31,19.36,747.68,3
80,2024-07-08 04:00:00,3.01,53.79,47.82,14.07,30.04,20.56,734.33,3
81,2024-07-08 05:00:00,3.32,48.06,42.77,13.71,43.99,19.36,714.3,3
82,2024-07-08 06:00:00,3.83,46.03,41.21,13.83,62.94,16.96,694.27,3
83,2024-07-08 07:00:00,3.51,42.29,38.47,12.04,81.54,13.37,620.84,3
84,2024-07-08 08:00:00,3.58,37.35,34.15,10.73,85.83,11.14,560.76,3
85,2024-07-08 09:00:00,3.77,37.88,34.71,10.25,89.41,10.2,534.06,3
86,2024-07-08 10:00:00,3.89,43.64,40.35,10.73,98.71,9.77,534.06,3
87,2024-07-08 11:00:00,4.18,53.46,49.79,11.21,110.15,9.6,540.73,3
88,2024-07-08 12:00:00,4.5,62.86,58.68,11.68,118.73,10.11,554.08,4
89,2024-07-08 13:00:00,7.73,79.3,71.03,15.97,104.43,15.77,660.9,4
90,2024-07-08 14:00:00,10.89,97.05,82.06,21.22,77.96,22.28,827.79,5
91,2024-07-08 15:00:00,10.64,104.02,84.34,22.65,57.94,26.39,947.95,5
